text,tdate,key
"Mon Sep 30 08:21:54 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-30 06:21:59,4550380411158528
"Fri Sep 13 05:43:09 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-107dbm). Successful (55 bytes - 5s).",2013-09-13 03:43:15,4551840700039168
"Fri Sep 20 18:47:49 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (50 bytes - 5s).",2013-09-20 16:48:00,4553283809050624
"Thu Sep 12 07:12:13 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (56 bytes - 4s).",2013-09-12 05:12:19,4554452040155136
"Mon Sep 16 06:25:44 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-81dbm). Successful (54 bytes - 5s).",2013-09-16 04:25:51,4555001795969024
"Thu Sep 26 07:18:55 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Unsuccessful.",2013-09-26 05:19:01,4555723350474752
"Tue Sep 24 13:29:40 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Successful (54 bytes - 5s).",2013-09-24 11:29:51,4557235178962944
"Sat Sep 28 06:25:15 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Unsuccessful.",2013-09-28 04:25:19,4558901626273792
"Tue Sep 24 11:54:30 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 8s).",2013-09-24 09:54:38,4562354779979776
"Thu Sep 26 16:20:45 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 6s).",2013-09-26 14:20:57,4563076334485504
"Sun Sep 15 11:53:23 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 4s).",2013-09-15 09:53:29,4563110694223872
"Wed Sep 18 11:53:09 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 5s).",2013-09-18 09:53:21,4563660450037760
"Sun Sep 29 09:35:52 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 5s).",2013-09-29 07:35:58,4563746349383680
"Tue Sep 10 07:12:17 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (46 bytes - 5s).",2013-09-10 05:12:23,4563797888991232
"Mon Sep 16 16:56:18 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-67dbm). Successful (54 bytes - 5s).",2013-09-16 14:56:26,4564210205851648
"Fri Sep 20 18:26:37 2013
 (Rwanda).successful (1s) - GSM (2G). Registered on Home Network (-71dbm). Successful (50 bytes - 7s).",2013-09-20 16:26:43,4566306149892096
"Tue Sep 17 09:24:21 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (56 bytes - 5s).",2013-09-17 07:24:31,4568333374455808
"Thu Sep 26 15:59:36 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 9s).",2013-09-26 13:59:43,4568848770531328
"Sat Sep 14 07:18:10 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 5s).",2013-09-14 05:18:15,4568883130269696
"Sun Sep 29 11:32:06 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 4s).",2013-09-29 09:32:11,4569518785429504
"Mon Sep 23 12:46:49 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 6s).",2013-09-23 10:46:55,4569776483467264
"Thu Oct  3 14:12:55 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Successful (55 bytes - 5s).",2013-10-03 12:13:01,4570309059411968
"Fri Sep 13 06:35:56 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-105dbm). Successful (54 bytes - 7s).",2013-09-13 04:36:02,4572319104106496
"Thu Sep 26 17:46:15 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (56 bytes - 8s).",2013-09-26 15:46:20,4574689926053888
"Wed Sep 18 14:32:01 2013
 (Rwanda).successful (1s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 8s).",2013-09-18 12:32:07,4575617638989824
"Mon Sep 30 13:52:09 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 6s).",2013-09-30 11:52:15,4576356373364736
"Thu Sep 19 10:07:10 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (56 bytes - 5s).",2013-09-19 08:07:25,4576510992187392
"Tue Sep 24 15:38:38 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 5s).",2013-09-24 13:38:43,4577060748001280
"Mon Sep 23 06:36:08 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-23 04:36:14,4577610503815168
"Wed Oct  2 10:18:30 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 5s).",2013-10-02 08:18:36,4579036432957440
"Fri Oct  4 15:48:32 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 8s).",2013-10-04 13:48:45,4580135944585216
